Goldilocks,b,bs,1
Burgess Bridge,b,bs,2
Pipeline,b,bs,3
Bear Boogie,b,bs,4
West World,b,bs,5
Big John,b,bs,6
Shady Grove,b,bs,7
Grouse Connection,b,bs,8
Satisfaction,b,bs,9
Pacesetter,b,bs,10
Corral Ridge,bd,bs,11
Blue Jay Way,bd,bs,12
Oopla,bd,bs,13
Spy Glass,bd,bs,14
Tigger’s,bd,bs,15
Kohoutek Gulley,bd,bs,16
Rodeo,g,fs,17
Cub Meadow,g,fs,18
Ego Alley,g,fs,19
Lodge Run,g,fs,20
Mokelumne West,b,fs,21
Tuck’s Traverse,b,fs,22
Spring Gap,b,fs,23
Bono’s Alley,b,fs,24
Upper Mokelumne,b,fs,25
Hog Back,b,fs,26
Lonely Pine,b,fs,27
NASTAR,b,fs,28
Sugar,b,fs,29
Water Tank,b,fs,30
Feather Duster,bd,fs,31
Lower Mokelumne,bd,fs,32
Kyle’s,bd,fs,33
Yellow Submarine,bd,fs,34
Monte Wolfe,bd,fs,35
National,bd,fs,36
Groovey Gulley,bd,fs,37
Australia Street,bd,fs,38
Cliff Run,bd,fs,39
Porridge Bowl,bd,fs,40
Cornice,bd,fs,41
Hank’s,bd,fs,42
Grizzly Gate,bd,lm,43
Anticipation Gate,bd,lm,44
Freefall Gate,bd,lm,45
Snow Valley,bd,lm,46
Bad Boy Gate,bd,lm,47
West Ridge,dbd,lm,48
Cece's,dbd,lm,49
Tortilla Cliffs,dbd,lm,50
Gunmount Gate,dbd,lm,51
Hari Kari,dbd,lm,52
Greg’s Way,g,vs,53
Lunch Run,b,vs,54
East Bowl,b,vs,55
Home Run,bd,vs,56
The Face (Lift Line),bd,fs,57
Chairline*,bd,bs,58
Candyland**,bd,bs,59
R&R*,bd,fs,60